net,length_um
_04985_,217.555
_14500_,217.24
_11889_,217.18
_13432_,216.58
_09852_,216.54
_09474_,216.46
_10991_,216.365
_13546_,216.18
_09438_,216.06
_10818_,216.04
_10307_,216.03
_06606_,215.86
clknet_1_1__leaf__10152_,215.8
_09509_,215.64
_11620_,215.47
_04464_,215.17
_12022_,215.1
_09163_,214.97
net19,214.68
_09620_,214.65
_10229_,214.59
_14348_,214.5
datamem.data_ram\[52\]\[29\],214.14
rvcpu.dp.SrcBFW_Mux.y\[31\],214.025
_08560_,213.98
_11413_,213.67
_11650_,213.65
_12777_,213.54
clknet_1_0__leaf__10267_,213.44
_13465_,213.43
_04634_,212.96
_13588_,212.88
_09778_,212.3
_09644_,212
_13483_,211.685
_05732_,211.65
_12083_,211.64
_04742_,211.53
_13526_,211.51
_09797_,211.44
rvcpu.dp.SrcBFW_Mux.y\[15\],211.08
_08917_,210.96
_10659_,210.92
_08576_,210.89
_04731_,210.72
_06591_,210.48
_09714_,210.45
_09437_,210.22
_09362_,209.84
net39,209.72
_09786_,209.32
_13517_,209.145
_09523_,208.74
_12603_,208.72
_10270_,208.62
_13294_,208.355
clknet_5_1__leaf_clk,207.72
_13312_,207.26
rvcpu.ALUResultE\[9\],207.08
_05178_,207.055
rvcpu.dp.SrcBFW_Mux.y\[8\],206.925
_13780_,206.84
_08689_,206.75
_10376_,206.74
_11181_,206.74
datamem.data_ram\[53\]\[7\],206.51
_13649_,206.41
_10756_,206.37
_13245_,206.33
_14464_,206.31
_13767_,206.26
_10752_,206.17
datamem.data_ram\[52\]\[7\],206.155
_10727_,206.11
rvcpu.dp.plde.ALUControlE\[0\],206.095
_05291_,205.97
_12704_,205.97
rvcpu.dp.plmw.ReadDataW\[29\],205.97
_13181_,205.84
_05786_,205.77
_10182_,205.48
_14221_,205.05
_13385_,204.98
_04768_,204.51
_13141_,204.28
rvcpu.dp.SrcBFW_Mux.y\[20\],204.215
_13331_,204.15
_04720_,204.11
_08541_,204.01
_10400_,203.94
_11494_,203.86
_10783_,203.66
_13759_,203.66
_13284_,203.64
_14561_,203.63
clknet_1_1__leaf__10221_,203.52
_10705_,203.34
_13506_,203.27
_14525_,202.85
_09532_,202.43
_13332_,202.035
_08898_,201.92
_10412_,201.85
rvcpu.dp.SrcBFW_Mux.y\[24\],201.525
_14092_,201.12
rvcpu.dp.SrcBFW_Mux.y\[22\],201.06
_04502_,200.84
_08499_,200.8
_08298_,200.77
_05093_,200.37
_13469_,200.18
datamem.data_ram\[52\]\[27\],200.1
_08706_,199.98
_05082_,199.7
_04503_,199.33
_12914_,199.23
_13542_,199.16
_08845_,198.96
datamem.data_ram\[52\]\[24\],198.92
_07781_,198.82
_04865_,198.56
_14422_,198.51
datamem.data_ram\[53\]\[2\],198.48
_13374_,198.395
_12760_,198.36
_05655_,198.26
rvcpu.dp.SrcBFW_Mux.y\[23\],197.935
rvcpu.dp.SrcBFW_Mux.y\[21\],197.785
_06055_,197.735
_09276_,197.69
_12751_,197.61
_06750_,197.48
rvcpu.dp.plde.ALUSrcE,197.05
_10782_,197
_14385_,196.8
_14236_,196.71
_05239_,196.63
_05785_,196.57
_09526_,196.54
_12805_,196.38
_08405_,196.14
_10482_,196.08
_04695_,196.05
clknet_5_14__leaf_clk,195.97
_13607_,195.68
_13559_,195.52
_09268_,195.28
_13572_,195.26
_10511_,195.14
_04779_,195.1
_10385_,194.92
_11018_,194.83
_04792_,194.8
_10162_,194.7
_04466_,194.54
_05391_,194.52
_11149_,194.51
_11704_,194.39
_13366_,193.78
_10816_,193.7
_14443_,193.68
datamem.data_ram\[52\]\[25\],193.64
_04706_,193.59
_14173_,193.2
_05662_,193.13
_09768_,193
_13475_,192.98
_04575_,192.52
rvcpu.dp.plmw.ReadDataW\[30\],192.48
_10687_,192.27
_14258_,191.96
_05565_,191.905
_13409_,191.87
_13387_,191.82
_13358_,191.61
_11386_,191.42
_12754_,191.1
_04960_,191.09
rvcpu.dp.plem.ALUResultM\[31\],191.03
_13372_,190.54
datamem.data_ram\[52\]\[20\],190.36
_14286_,190.08
rvcpu.dp.plde.ImmExtE\[21\],190
_12085_,189.96
_10758_,189.92
clknet_5_24__leaf_clk,189.85
clknet_1_1__leaf__10140_,189.73
_13363_,189.6
_05741_,189.27
_08151_,188.91
_04659_,188.62
_12125_,188.15
_14360_,187.86
_05441_,187.68
_12758_,187.62
_05688_,187.54
_10735_,187.54
_10887_,187.52
_12280_,187.46
_13076_,187.44
datamem.data_ram\[52\]\[30\],187.38
rvcpu.dp.plem.WriteDataM\[1\],187.18
_13599_,187.05
_13496_,187.01
_13488_,186.77
_11353_,186.68
_13431_,186.46
_12766_,186.33
_06799_,186.22
rvcpu.dp.SrcBFW_Mux.y\[19\],186.185
_04587_,185.98
rvcpu.ALUResultE\[3\],185.91
_13296_,185.78
_08801_,185.42
_05728_,185.39
_10143_,185.37
_05068_,185.29
_10140_,185.05
_14511_,184.95
net11,184.9
_07176_,184.87
_09003_,184.62
_09488_,184.44
